Country;Period_ID
;
abkhazia;1190
afars_issas;678
afghanistan;250
afghanistan;251
afghanistan;981
ajman;982
albania;199
albania;203
albania;522
albania;523
alderney;622
algeria;202
algeria;579
american_samoa;863
andorra;305
andorra;415
angola;434
angola;435
angola;491
angola;1038
angola;1039
anguilla;769
anhalt_bernburg;902
antigua_barbuda;743
argentina;74
argentina;75
argentina;78
argentina;79
argentina;154
argentine_provinces;898
argentine_provinces;1047
argentine_provinces;1048
argentine_provinces;1049
argentine_provinces;1163
armavir;1150
armenia;134
aruba;191
aruba;286
ascension_island;619
australia;104
australia;236
australia;237
australia;354
australia;644
australia;998
austria;59
austria;242
austria;298
austria;299
austria;311
austria;548
austria;675
austria;759
austria;810
austria;858
austria;989
austria;1043
austrian_netherlands;882
austrian_netherlands;901
azerbaijan;32
azerbaijan;64
azerbaijan;65
azerbaijan;210
azores;754
azores;755
azores;1010
baden;464
baden;853
bahamas;240
bahawalpur;1071
bahrain;362
bangladesh;201
barbados;197
baroda;1051
bavaria;437
bavaria;812
bavaria;937
bavaria;938
belarus;122
belgian_congo;669
belgium;49
belgium;107
belgium;245
belgium;269
belgium;306
belgium;367
belgium;421
belgium;798
belize;281
belize;590
benin;327
benin;1178
berg;1220
berg;1221
bermuda;241
bermuda;717
bhopal;1212
bhutan;429
bhutan;697
bhutan;698
bhutan;1160
biafra;770
bikaner;1111
biot;716
bohemia;1061
bohemia;1099
bohemia;1100
bolivia;224
bolivia;282
bolivia;292
bolivia;368
bolivia;893
bolivia;1017
bolivia;1018
bolivia;1235
bosnia_herzegovina;138
bosnia_herzegovina;223
bosnia_herzegovina;278
bosnia_herzegovina;296
botswana;294
botswana;886
brandenburg_prussia;1271
brandenburg_prussia;1276
brandenburg_prussia;1277
brandenburg_prussia;1278
brazil;81
brazil;82
brazil;83
brazil;84
brazil;85
brazil;174
brazil;444
brazil;445
brazil;446
brazil;875
brazil;876
brazil;923
brazil;1079
brazil;1080
brazil;1081
bremen;655
bremen;1194
bremen;1195
british_antarctic_territory;715
british_east_africa;565
british_east_africa;566
british_east_africa;567
british_east_indies;1101
british_east_indies;1102
british_east_indies;1103
british_east_indies;1104
british_east_indies;1165
british_east_indies;1166
british_east_indies;1167
british_india;418
british_india;419
british_india;420
british_india;482
british_india;668
british_india;869
british_india;870
british_india;871
british_india;1223
british_west_africa;621
british_west_indies;1037
brunei;209
brunswick;654
brunswick;905
brunswick_luneburg;1082
brunswick_luneburg;1083
brunswick_luneburg;1087
brunswick_luneburg;1088
brunswick_luneburg;1089
brunswick_wolfenbuttel;1145
brunswick_wolfenbuttel;1146
brunswick_wolfenbuttel;1153
brunswick_wolfenbuttel;1154
bukhara;1290
bulgaria;103
bulgaria;133
bulgaria;137
bulgaria;229
bulgaria;230
bulgaria;348
burgau;1222
burkina_faso;388
burundi;443
burundi;670
cambodia;214
cambodia;216
cambodia;1028
cambodia;1029
cameroon;375
cameroon;641
cameroon;642
canada;24
canada;128
canada;275
canada;392
canada;555
canadian_provinces;829
canadian_provinces;830
canadian_provinces;831
cape_verde;363
cape_verde;570
caribbean_netherlands;864
cayman_islands;239
central_africa;352
central_africa;591
central_african_republic;377
central_american_republic;850
ceylon;978
ceylon;1015
chad;376
chile;87
chile;170
chile;247
chile;556
chile;557
chile;1023
china;50
china;51
china;626
china;627
china;628
china;629
china;630
china;775
china;776
china;816
china;817
china;820
china;939
china;942
china;943
china;966
china;967
china;1234
china_empire;907
china_empire;908
china_empire;911
china_empire;912
china_empire;913
china_empire;914
china_empire;915
china_empire;916
china_empire;917
china_empire;921
china_empire;980
china_empire;1075
china_empire;1130
china_empire;1131
china_empire;1171
china_empire;1172
china_empire;1173
china_empire;1174
china_republic;1025
china_republic;1117
china_republic;1118
colombia;94
colombia;180
colombia;763
colombia;764
colombia;774
colombia;818
colombia;819
colombia;944
colombia;945
colombia;946
colombia;1019
colombia;1177
comoros;602
comoros;603
comoros;919
congo_democratic_republic;414
congo_democratic_republic;521
congo_democratic_republic;551
congo_democratic_republic;552
congo_democratic_republic;553
congo_democratic_republic;679
cook_islands;397
costa_rica;144
costa_rica;358
costa_rica;433
costa_rica;707
cote_d_ivoire;389
crete;631
croatia;29
croatia;574
cuba;181
cuba;339
curacao;598
cyprus;118
cyprus;206
cyprus;307
cyprus;353
cyprus;541
cyprus;542
cyprus;543
cyprus;544
czech_republic;25
czech_republic;213
danish_west_indies;906
danzig;295
danzig;1000
danzig;1284
darfur;1293
denmark;45
denmark;98
denmark;146
denmark;220
denmark;373
denmark;374
denmark;646
denmark;647
denmark;846
denmark;1115
denmark;1147
djibouti;527
dominica;745
dominican_republic;244
dominican_republic;895
dutch_republic;948
dutch_republic;949
dutch_republic;953
dutch_republic;954
dutch_republic;957
dutch_republic;958
dutch_republic;959
dutch_republic;960
east_timor;592
east_timor;593
east_timor;594
eastern_caribbean;287
eastern_caribbean;503
ecuador;101
ecuador;257
ecuador;258
ecuador;765
