Country,Period_ID
mexico,922
mexico,1135
mexico,1136
montserrat,749
netherlands_antilles,486
netherlands_antilles,254
netherlands_antilles,255
netherlands_antilles,598
nicaragua,260
nicaragua,261
nicaragua,918
panama,192
panama,651
paraguay,140
paraguay,581
paraguay,1050
peru,88
peru,158
peru,162
peru,744
peru,720
peru,987
peru,1245
peru,1024
puerto_rico,777
el_salvador,259
el_salvador,580
saint_pierre_miquelon,768
saint_vincent_grenadines,750
saint_kitts_nevis,748
saint_lucia,747
suriname,412
suriname,411
suriname,625
usa,90
usa,91
usa,147
usa,276
usa,611
turks_caicos_islands,601
trinidad_tobago,228
trinidad_tobago,330
uruguay,151
uruguay,218
uruguay,219
uruguay,909
falkland_islands,477
french_guiana,788
chile,87
chile,170
chile,247
chile,556
chile,557
chile,1023
ecuador,101
ecuador,257
ecuador,258
ecuador,765
ecuador,1134
south_georgia,714
jamaica,179
jamaica,463
abkhazia,1190
azerbaijan,210
azerbaijan,32
azerbaijan,64
azerbaijan,65
armenia,134
armenia,32
armenia,64
armenia,65
afghanistan,250
afghanistan,251
afghanistan,981
bangladesh,201
bahrain,362
biot,716
brunei,209
bhutan,429
bhutan,697
bhutan,698
bhutan,1160
east_timor,594
east_timor,593
east_timor,592
vietnam,175
vietnam,539
vietnam,538
vietnam,1186
vietnam,1279
hong_kong,116
hong_kong,117
hong_kong,359
hong_kong,360
hong_kong,712
hong_kong,713
georgia,159
georgia,32
georgia,64
georgia,65
georgia,1191
egypt,41
egypt,369
egypt,427
egypt,475
egypt,481
egypt,636
egypt,634
egypt,648
egypt,1084
egypt,1085
israel,66
israel,171
israel,246
israel,264
india,121
india,410
indonesia,177
indonesia,718
indonesia,719
indonesia,386
jordan,288
jordan,289
iraq,187
iraq,638
iran,189
iran,193
iran,355
iran,356
iran,693
iran,694
iran,695
iran,696
iran,860
yemen,342
yemen,558
yemen,430
yemen,725
yemen,800
kazakhstan,108
kazakhstan,32
kazakhstan,64
kazakhstan,65
cambodia,214
cambodia,216
cambodia,1028
cambodia,1029
qatar,371
qatar,643
cyprus,307
cyprus,118
cyprus,206
cyprus,353
cyprus,541
cyprus,542
cyprus,543
cyprus,544
kyrgyzstan,235
kyrgyzstan,32
kyrgyzstan,64
china,51
china,50
china,630
china,627
china,629
china,626
china,628
china,967
china,966
china,775
china,816
china,817
china,776
china,820
china,939
china,943
china,1234
china,942
kuwait,184
laos,173
laos,607
lebanon,34
lebanon,285
lebanon,372
macau,217
macau,442
malaysia,153
malaysia,563
malaysia,561
maldives,407
maldives,1009
mongolia,211
myanmar,333
myanmar,674
myanmar,1161
nagorno_karabakh,458
nepal,271
nepal,970
nepal,968
united_arab_emirates,17
united_arab_emirates,643
oman,212
oman,623
pakistan,249
pakistan,416
palestine,290
russia,12
russia,27
russia,28
russia,32
russia,64
russia,65
russia,178
russia,279
russia,280
russia,507
russia,508
russia,509
russia,1200
russia,738
russia,615
russia,616
russia,617
russia,729
russia,728
russia,730
russia,731
russia,732
russia,1162
saudi_arabia,293
saudi_arabia,682
north_korea,272
singapore,150
syria,190
syria,370
syria,576
syria,575
tajikistan,161
tajikistan,32
tajikistan,64
thailand,806
thailand,53
thailand,334
thailand,335
thailand,461
thailand,1040
